name,category,status,severity,observed,expected,details
drawdown_breach_rates.csv schema,empirical,pass,critical,"[""Return basis"", ""Strategy"", ""Requested method"", ""Simulation"", ""Breach 10%"", ""Breach 25%"", ""Breach 50%"", ""Breach 75%"", ""Breach 90%""]","[""Breach 10%"", ""Breach 25%"", ""Breach 50%"", ""Breach 75%"", ""Breach 90%"", ""Requested method"", ""Return basis"", ""Simulation"", ""Strategy""]",
factor-control raw inputs absent; generated regression artifacts used,empirical,pass,critical,/Users/dhruvkohli/Desktop/Github Repos/Option_Portfolio_Greek_Risk_Premia/data/feature_store/option_greek_proxy_panel.parquet,licensed input required for independent factor recomputation,
information ratio recorded from generated summary: Equity-option Greek Markowitz,empirical,pass,critical,0.5982743778565097,,
performance metric matches summary: Equity-option Greek Markowitz / Ann. return,empirical,pass,critical,0.894164572585072,0.894164572585072,
performance metric matches summary: Equity-option Greek Markowitz / Ann. vol,empirical,pass,critical,1.0618025335815389,1.061802533581539,
performance metric matches summary: Equity-option Greek Markowitz / Sharpe,empirical,pass,critical,0.8421194565895302,0.8421194565895301,
performance metric matches summary: Equity-option Greek Markowitz / Sortino,empirical,pass,critical,1.7700811621300996,1.7700811621300996,
performance metric matches summary: Equity-option Greek Markowitz / Calmar,empirical,pass,critical,1.0204897200736815,1.0204897200736813,
performance metric matches summary: Equity-option Greek Markowitz / Omega,empirical,pass,critical,1.887746709782267,1.887746709782267,
worst month matches summary: Equity-option Greek Markowitz,empirical,pass,critical,-0.4548043633961028,-0.45480436339610286,
information ratio recorded from generated summary: Greek Markowitz + VIX,empirical,pass,critical,1.1998006679456976,,
performance metric matches summary: Greek Markowitz + VIX / Ann. return,empirical,pass,critical,1.2463192285080005,1.2463192285080007,
performance metric matches summary: Greek Markowitz + VIX / Ann. vol,empirical,pass,critical,0.9068172193093107,0.9068172193093107,
performance metric matches summary: Greek Markowitz + VIX / Sharpe,empirical,pass,critical,1.3743885779509966,1.3743885779509968,
performance metric matches summary: Greek Markowitz + VIX / Sortino,empirical,pass,critical,3.3852591193963497,3.3852591193963497,
performance metric matches summary: Greek Markowitz + VIX / Calmar,empirical,pass,critical,2.033918612174948,2.033918612174948,
performance metric matches summary: Greek Markowitz + VIX / Omega,empirical,pass,critical,2.7843631987725814,2.7843631987725814,
worst month matches summary: Greek Markowitz + VIX,empirical,pass,critical,-0.3706500401498496,-0.3706500401498496,
information ratio recorded from generated summary: Beta/delta-neutral + VIX,empirical,pass,critical,1.1470654479222597,,
performance metric matches summary: Beta/delta-neutral + VIX / Ann. return,empirical,pass,critical,1.1720618697652665,1.1720618697652665,
performance metric matches summary: Beta/delta-neutral + VIX / Ann. vol,empirical,pass,critical,0.8291774074138495,0.8291774074138495,
performance metric matches summary: Beta/delta-neutral + VIX / Sharpe,empirical,pass,critical,1.4135236431740843,1.4135236431740843,
performance metric matches summary: Beta/delta-neutral + VIX / Sortino,empirical,pass,critical,3.4101063613903224,3.4101063613903215,
performance metric matches summary: Beta/delta-neutral + VIX / Calmar,empirical,pass,critical,2.0573537885252158,2.057353788525215,
performance metric matches summary: Beta/delta-neutral + VIX / Omega,empirical,pass,critical,2.947600334500002,2.947600334500001,
worst month matches summary: Beta/delta-neutral + VIX,empirical,pass,critical,-0.3541833244318854,-0.3541833244318854,
information ratio recorded from generated summary: Equal premium,empirical,pass,critical,-0.11981879207294609,,
performance metric matches summary: Equal premium / Ann. return,empirical,pass,critical,-0.0555215986452688,-0.05552159864526898,
performance metric matches summary: Equal premium / Ann. vol,empirical,pass,critical,1.878473564887012,1.878473564887012,
performance metric matches summary: Equal premium / Sharpe,empirical,pass,critical,-0.029556763365263736,-0.02955676336526383,
performance metric matches summary: Equal premium / Sortino,empirical,pass,critical,-0.05531007631445422,-0.0553100763144544,
performance metric matches summary: Equal premium / Calmar,empirical,pass,critical,-0.05553271091792234,-0.05553271091792252,
performance metric matches summary: Equal premium / Omega,empirical,pass,critical,0.977176547323733,0.9771765473237329,
worst month matches summary: Equal premium,empirical,pass,critical,-0.6623626401921293,-0.6623626401921293,
information ratio recorded from generated summary: Equal risk,empirical,pass,critical,-0.057746568749952626,,
performance metric matches summary: Equal risk / Ann. return,empirical,pass,critical,0.10434553413679806,0.10434553413679803,
performance metric matches summary: Equal risk / Ann. vol,empirical,pass,critical,1.2751366252116842,1.2751366252116842,
performance metric matches summary: Equal risk / Sharpe,empirical,pass,critical,0.08183086586464863,0.0818308658646486,
performance metric matches summary: Equal risk / Sortino,empirical,pass,critical,0.14638589036582483,0.14638589036582478,
performance metric matches summary: Equal risk / Calmar,empirical,pass,critical,0.10693488072634065,0.10693488072634062,
performance metric matches summary: Equal risk / Omega,empirical,pass,critical,1.0641387065829715,1.0641387065829713,
worst month matches summary: Equal risk,empirical,pass,critical,-0.5155029411966354,-0.5155029411966354,
information ratio recorded from generated summary: VIX hedge sleeve,empirical,pass,critical,-6.13214961326551,,
performance metric matches summary: VIX hedge sleeve / Ann. return,empirical,pass,critical,-9.28491238522107,-9.28491238522107,
performance metric matches summary: VIX hedge sleeve / Ann. vol,empirical,pass,critical,1.4441818674927205,1.444181867492721,
performance metric matches summary: VIX hedge sleeve / Sharpe,empirical,pass,critical,-6.429184989935397,-6.429184989935395,
performance metric matches summary: VIX hedge sleeve / Sortino,empirical,pass,critical,-3.0892753979009937,-3.0892753979009937,
performance metric matches summary: VIX hedge sleeve / Calmar,empirical,pass,critical,,,
performance metric matches summary: VIX hedge sleeve / Omega,empirical,pass,critical,0.040425690950258435,0.04042569095025844,
worst month matches summary: VIX hedge sleeve,empirical,pass,critical,-1.0,-1.0,
information ratio recorded from generated summary: Delta-matched equities,empirical,pass,critical,1.0407484610659437,,
performance metric matches summary: Delta-matched equities / Ann. return,empirical,pass,critical,1.0954040285123476,1.0954040285123476,
performance metric matches summary: Delta-matched equities / Ann. vol,empirical,pass,critical,0.9311728351232496,0.9311728351232496,
performance metric matches summary: Delta-matched equities / Sharpe,empirical,pass,critical,1.1763702582317712,1.1763702582317712,
performance metric matches summary: Delta-matched equities / Sortino,empirical,pass,critical,2.31736748845411,2.31736748845411,
performance metric matches summary: Delta-matched equities / Calmar,empirical,pass,critical,1.2251171795483853,1.2251171795483853,
performance metric matches summary: Delta-matched equities / Omega,empirical,pass,critical,2.366610085977659,2.3666100859776584,
worst month matches summary: Delta-matched equities,empirical,pass,critical,-0.4540048157737572,-0.4540048157737572,
