config,signal_date,execution_date,action,signal_source,asset_id,symbol,underlying,expiry,position_contracts,order_contracts
orig+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,META_call_call_near,FB    200619C00240000,META,2020-06-19,3.0,3.0
orig+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,MSFT_call_atm,MSFT  200619C00180000,MSFT,2020-06-19,2.0,2.0
orig+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,MSFT_call_call_near,MSFT  200619C00195000,MSFT,2020-06-19,9.0,9.0
orig+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,MSFT_put_atm,MSFT  200619P00180000,MSFT,2020-06-19,-1.0,-1.0
orig+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,VIX_call_vix_atm,VIX   200617C00029000,VX_FRONT,2020-06-17,-5.0,-5.0
orig+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,VIX_call_vix_call_near,VIX   200617C00035000,VX_FRONT,2020-06-17,-29.0,-29.0
orig+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,VIX_put_vix_atm,VIX   200617P00028000,VX_FRONT,2020-06-17,-118.0,-118.0
orig+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,VIX_put_vix_put_near,VIX   200617P00025000,VX_FRONT,2020-06-17,-85.0,-85.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,AAPL_call_atm,AAPL  200619C00320000,AAPL,2020-06-19,1.0,1.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,AMD_call_atm,AMD   200619C00055000,AMD,2020-06-19,8.0,8.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,BA_put_atm,BA    200619P00150000,BA,2020-06-19,1.0,1.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,BA_put_put_near,BA    200619P00135000,BA,2020-06-19,1.0,1.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,CHTR_call_atm,CHTR  200619C00550000,CHTR,2020-06-19,1.0,1.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,COST_call_atm,COST  200619C00310000,COST,2020-06-19,4.0,4.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,DAL_put_atm,DAL   200619P00025000,DAL,2020-06-19,1.0,1.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,MA_call_atm,MA    200619C00300000,MA,2020-06-19,1.0,1.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,META_call_call_near,FB    200619C00240000,META,2020-06-19,1.0,1.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,MSFT_call_atm,MSFT  200619C00180000,MSFT,2020-06-19,2.0,2.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,MSFT_call_call_near,MSFT  200619C00195000,MSFT,2020-06-19,9.0,9.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,MSFT_put_atm,MSFT  200619P00180000,MSFT,2020-06-19,-1.0,-1.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,XOM_put_atm,XOM   200619P00045000,XOM,2020-06-19,7.0,7.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,VIX_call_vix_atm,VIX   200617C00029000,VX_FRONT,2020-06-17,-8.0,-8.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,VIX_call_vix_call_near,VIX   200617C00035000,VX_FRONT,2020-06-17,-32.0,-32.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,VIX_put_vix_atm,VIX   200617P00028000,VX_FRONT,2020-06-17,-111.0,-111.0
larger+VIX,2020-06-12,2020-06-15,reenter,official_vix_close,VIX_put_vix_put_near,VIX   200617P00025000,VX_FRONT,2020-06-17,-73.0,-73.0
orig,2020-10-29,2020-10-30,reenter,official_vix_close,AMZN_call_atm,AMZN  201120C03100000,AMZN,2020-11-20,1.0,1.0
orig,2020-10-29,2020-10-30,reenter,official_vix_close,MSFT_call_put_near,MSFT  201120C00195000,MSFT,2020-11-20,5.0,5.0
larger,2020-10-29,2020-10-30,reenter,official_vix_close,AMD_call_atm,AMD   201120C00075000,AMD,2020-11-20,22.0,22.0
larger,2020-10-29,2020-10-30,reenter,official_vix_close,AMD_put_atm,AMD   201120P00076000,AMD,2020-11-20,-18.0,-18.0
larger,2020-10-29,2020-10-30,reenter,official_vix_close,AMZN_call_atm,AMZN  201120C03100000,AMZN,2020-11-20,1.0,1.0
larger,2020-10-29,2020-10-30,reenter,official_vix_close,COST_call_atm,COST  201120C00360000,COST,2020-11-20,3.0,3.0
larger,2020-10-29,2020-10-30,reenter,official_vix_close,MSFT_call_put_near,MSFT  201120C00195000,MSFT,2020-11-20,3.0,3.0
larger,2020-10-29,2020-10-30,reenter,official_vix_close,NKE_call_atm,NKE   201120C00120000,NKE,2020-11-20,5.0,5.0
