feasible,max_breach,scenario_cvar_loss,worst_stress_return,short_margin_used,collateral_used,gross_nav,breach_base,breach_cap,breach_cvar,breach_stress,breach_margin,breach_collateral,breach_assignment,method,method_status,solver,predicted_annual_vol,breach_volatility,breach_sign,breach_positive_edge,expected_net_return,predictable_cost,net_utility,continuous_l1_distance,integer_contracts,available,selected,config,strategy,return_date,decision_date
False,0.0011310697345007,0.1011310697345007,-0.0261236583064565,0.3151976999282837,0.3265236999282837,0.063246,0.0,0.0,0.0011310697345007,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2463648099737343,0.0,0.0,0.00183,0.0083186942553138,0.0046088409140403,0.0058782230080435,0.0066141119276423,1045,True,False,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-04-30,2019-02-28
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0698601119276423,0,True,True,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-04-30,2019-02-28
False,0.0093897230604243,0.1093897230604243,-0.0223892781072357,0.3567040002441407,0.3865900002441407,0.093169,0.0,0.0,0.0093897230604243,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.244577609733966,0.0,0.0,0.00881,0.0106940442642687,0.0056255009318366,0.0070983183535675,0.0094559366563066,1257,True,False,orig+VIX,R1.1 25pct positive-edge deployment,2019-05-31,2019-04-30
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1026249366563066,0,True,True,orig+VIX,R1.1 25pct positive-edge deployment,2019-05-31,2019-04-30
True,0.0,0.0986632198420337,-0.0521224899556049,0.2595340020751953,0.2864210020751953,0.080765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2441829184080119,0.0,0.0,0.007446,0.0077366807713803,0.0039540360941936,0.0040178580521169,0.0092826541399885,837,True,True,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-05-31,2019-04-30
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0900476541399885,0,True,False,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-05-31,2019-04-30
False,0.0067872250170584,0.1067872250170584,-0.0254627658928806,0.2992681999053955,0.3060901999053955,0.075185,0.0,0.0,0.0067872250170584,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2467547690804576,0.0,0.0,0.001216,0.0125252549999529,0.0043390211335726,0.0076525834938864,0.0066020540410465,822,True,False,orig+VIX,R1.1 25pct positive-edge deployment,2019-06-28,2019-05-31
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0817870540410465,0,True,True,orig+VIX,R1.1 25pct positive-edge deployment,2019-06-28,2019-05-31
False,0.0058159520931353,0.1058159520931353,-0.0185223155666875,0.2521125,0.2569395,0.070679,0.0,0.0,0.0058159520931353,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2464851050341299,0.0,0.0,0.001216,0.011749326596558,0.0038843313951611,0.0069590243470716,0.0061238496021208,691,True,False,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-06-28,2019-05-31
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0768028496021208,0,True,True,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-06-28,2019-05-31
