config,strategy,knobs_label,participation,aum,mode,solver_status,capacity_infeasible,sum_of_caps,deployed_gross,gross_sharpe,net_sharpe,gross_ann_ret,net_ann_ret,mean_monthly_capacity_cost,max_capacity_ratio,capacity_penalized_share,spread_proxy_fill
larger+VIX,GM combined,primary,0.05,10000000.0,hard,infeasible,True,0.151482335,0.0,,,0.0,0.0,0.0,,0.0,True
larger+VIX,GM combined,primary,0.05,10000000.0,relaxed,optimal,True,0.151482335,0.0005409145635821617,1.2999141867727577,0.43796213054097605,0.00031402378790471963,0.00010585583580778051,8.567225033012809e-11,1.4659057069065753,0.0003454231433506045,True
larger+VIX,GM combined alt,alt,0.05,10000000.0,hard,infeasible,True,0.151482335,0.0,,,0.0,0.0,0.0,,0.0,True
larger+VIX,GM combined alt,alt,0.05,10000000.0,relaxed,optimal,True,0.151482335,0.0008526417449438704,1.2847441279382779,0.8552362220152882,0.0009450224662669428,0.0006282069387357009,1.0776581784623074e-10,1.578062986436555,0.0003454231433506045,True
larger+VIX,Equal premium capped,naive_capped,0.05,10000000.0,relaxed,reference,True,0.151482335,0.14390821825,-0.2063178330467548,-0.5011490540402863,-0.042520246357860864,-0.10321946315118605,0.001361122322080396,47.26000000000001,0.24151986183074267,True
larger+VIX,Equal risk capped,naive_capped,0.05,10000000.0,relaxed,reference,True,0.151482335,0.14390821825,-0.2873724142902381,-0.6051579719027417,-0.05632729721250145,-0.11855935103917187,0.001450473703827715,47.26000000000001,0.23910189982728844,True
larger+VIX,GM paper,default,,25000000.0,uncapped,optimal,False,,0.9999996047636934,0.7646532722533432,-1.9091394524067273,0.49689290367790506,-8526.370529499805,710.5418018980997,13495.646171208356,0.5742314335060449,True
larger+VIX,Delta neutral,delta,,25000000.0,uncapped,reference,False,,0.9999997470656226,0.8323717368915384,-1.805585086360882,0.5335660360790695,-9398.986137375074,783.262407229976,14250.18111563121,0.567461139896373,True
larger+VIX,Equal premium,naive,,25000000.0,naive,reference,False,,1.0,0.48513564180639357,-4.257191309586764,0.7704041686225576,-1649.8995081083995,137.52572898146843,3745.318352059925,0.9397582037996546,True
larger+VIX,Equal risk,naive,,25000000.0,naive,reference,False,,0.9999999999999999,0.5755618640569028,-5.170464806789699,0.632519986416876,-1290.1245642278354,107.53627008263636,3997.226818188951,0.9031433506044905,True
larger+VIX,GM combined,primary,0.05,25000000.0,hard,infeasible,True,0.060592934,0.0,,,0.0,0.0,0.0,,0.0,True
larger+VIX,GM combined,primary,0.05,25000000.0,relaxed,optimal,True,0.060592934,0.00020973587375912474,1.2999138300015463,0.4379388234597076,0.00012175622473575577,4.104132229475152e-05,2.607463074856809e-11,1.4195169136816281,0.0002763385146804836,True
larger+VIX,GM combined alt,alt,0.05,25000000.0,hard,infeasible,True,0.060592934,0.0,,,0.0,0.0,0.0,,0.0,True
larger+VIX,GM combined alt,alt,0.05,25000000.0,relaxed,optimal,True,0.060592934,0.0003004971467866429,1.2847684583180328,0.8552633940988096,0.00033306494816131703,0.00022140880184788004,1.3767076898051993e-11,1.390540139605659,0.0002763385146804836,True
larger+VIX,Equal premium capped,naive_capped,0.05,25000000.0,relaxed,reference,True,0.060592934,0.0575632873,-0.20631783304675477,-0.5011490540402864,-0.01700809854314434,-0.04128778526047442,0.0005444489288321582,47.25999999999999,0.24151986183074267,True
