underlying,quote_symbol,asset_class,moneyness_bucket,tenor_bucket,chain_timestamp,source_url,n_quotes,n_liquid_quotes,total_volume,total_open_interest,fill_relative_spread,fill_abs_spread,median_relative_spread,p25_relative_spread,p75_relative_spread,median_abs_spread,p25_abs_spread,p75_abs_spread,median_mid,fill_method
AMAT,AMAT,equity_option,all,all,2026-07-03 19:14:38,https://cdn.cboe.com/api/global/delayed_quotes/options/AMAT.json,500,125,24904.0,72032.0,0.10071942446043154,3.450000000000001,0.13183098591549283,0.10071942446043154,0.17968749999999992,4.300000000000001,3.450000000000001,6.099999999999994,36.05,cboe_current_liquid_quartile_p25_relative_spread
AMAT,AMAT,equity_option,atm,46_120d,2026-07-03 19:14:38,https://cdn.cboe.com/api/global/delayed_quotes/options/AMAT.json,18,5,1196.0,4798.0,0.06205035971223027,5.75,0.07603305785123966,0.06205035971223027,0.07847186370676312,6.900000000000006,5.75,7.099999999999994,90.45,cboe_current_liquid_quartile_p25_relative_spread
AMAT,AMAT,equity_option,atm,all,2026-07-03 19:14:38,https://cdn.cboe.com/api/global/delayed_quotes/options/AMAT.json,111,28,7649.0,16457.0,0.09758493003761622,3.9375000000000027,0.11971982758620686,0.09758493003761622,0.1328948892096561,4.649999999999999,3.9375000000000027,5.712499999999997,41.962500000000006,cboe_current_liquid_quartile_p25_relative_spread
AMAT,AMAT,equity_option,atm,le_45d,2026-07-03 19:14:38,https://cdn.cboe.com/api/global/delayed_quotes/options/AMAT.json,93,24,6453.0,11659.0,0.10983185715070148,3.9375000000000027,0.12464483071115616,0.10983185715070148,0.13666722663425437,4.199999999999996,3.9375000000000027,5.512499999999999,38.3125,cboe_current_liquid_quartile_p25_relative_spread
AMAT,AMAT,equity_option,call_near,46_120d,2026-07-03 19:14:38,https://cdn.cboe.com/api/global/delayed_quotes/options/AMAT.json,22,6,772.0,4885.0,0.08394406720862474,5.512500000000001,0.0886936282239881,0.08394406720862474,0.10025893882864019,6.325000000000003,5.512500000000001,6.800000000000008,65.82499999999999,cboe_current_liquid_quartile_p25_relative_spread
AMAT,AMAT,equity_option,call_near,all,2026-07-03 19:14:38,https://cdn.cboe.com/api/global/delayed_quotes/options/AMAT.json,136,34,6769.0,19628.0,0.09066038575603483,3.7625,0.12621160059490238,0.09066038575603483,0.19393042672579827,4.649999999999999,3.7625,6.149999999999997,34.7375,cboe_current_liquid_quartile_p25_relative_spread
AMAT,AMAT,equity_option,call_near,le_45d,2026-07-03 19:14:38,https://cdn.cboe.com/api/global/delayed_quotes/options/AMAT.json,114,29,5997.0,14743.0,0.10560696788241702,3.5500000000000007,0.15165031222123104,0.10560696788241702,0.21216407355021216,4.199999999999999,3.5500000000000007,5.649999999999999,24.6,cboe_current_liquid_quartile_p25_relative_spread
AMAT,AMAT,equity_option,put_near,46_120d,2026-07-03 19:14:38,https://cdn.cboe.com/api/global/delayed_quotes/options/AMAT.json,16,5,1017.0,3624.0,0.06177606177606178,6.099999999999994,0.08677098150782353,0.06177606177606178,0.09123307198859573,6.3999999999999915,6.099999999999994,6.800000000000004,70.3,cboe_current_liquid_quartile_p25_relative_spread
AMAT,AMAT,equity_option,put_near,all,2026-07-03 19:14:38,https://cdn.cboe.com/api/global/delayed_quotes/options/AMAT.json,116,29,5244.0,13668.0,0.10301003344481591,3.3000000000000007,0.15302491103202848,0.10301003344481591,0.1685744016649324,4.199999999999999,3.3000000000000007,6.25,36.2,cboe_current_liquid_quartile_p25_relative_spread
AMAT,AMAT,equity_option,put_near,le_45d,2026-07-03 19:14:38,https://cdn.cboe.com/api/global/delayed_quotes/options/AMAT.json,100,25,4227.0,10044.0,0.13762811127379207,3.150000000000002,0.15536374845869308,0.13762811127379207,0.18032786885245908,4.050000000000001,3.150000000000002,4.549999999999997,25.775,cboe_current_liquid_quartile_p25_relative_spread
