config,signal_date,execution_date,action,signal_source,asset_id,symbol,underlying,expiry,position_contracts,order_contracts,valid_quote_minutes,session_minutes,median_relative_spread,p90_relative_spread,first_valid_ts,first_valid_bid,first_valid_ask,first_valid_mid,quote_presence_fraction,quote_vwap_mid,quote_vwap_bid,quote_vwap_ask,first_valid_touch,quote_vwap_touch,evidence_only
larger,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_call_near,MSFT  200619C00195000,MSFT,2020-06-19,17.0,-17.0,389.0,390.0,0.01980198019801982,0.028404516312671994,2020-06-12 13:31:00+00:00,2.05,2.14,2.0949999999999998,0.9974358974358974,1.4778547220967015,1.4625282422051515,1.493181201988251,2.05,1.4625282422051515,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_put_atm,MSFT  200619P00180000,MSFT,2020-06-19,-10.0,10.0,389.0,390.0,0.02094240837696337,0.033975786924939494,2020-06-12 13:31:00+00:00,0.98,1.03,1.005,0.9974358974358974,1.5794471898818996,1.5607312170198508,1.5981631627439485,1.03,1.5981631627439485,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,NFLX_call_atm,NFLX  200619C00425000,NFLX,2020-06-19,1.0,-1.0,389.0,390.0,0.03305785123966945,0.05151253241140879,2020-06-12 13:31:00+00:00,12.85,13.85,13.35,0.9974358974358974,8.711263775077706,8.54756993500989,8.87495761514552,12.85,8.54756993500989,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,PYPL_call_atm,PYPL  200619C00155000,PYPL,2020-06-19,2.0,-2.0,389.0,390.0,0.04195804195804193,0.053591559473912406,2020-06-12 13:31:00+00:00,3.8,4.15,3.975,0.9974358974358974,3.8292987012987014,3.7470716141001854,3.911525788497217,3.8,3.7470716141001854,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,PYPL_put_atm,PYPL  200619P00152500,PYPL,2020-06-19,-4.0,4.0,389.0,390.0,0.039215686274509776,0.050420168067226864,2020-06-12 13:31:00+00:00,3.1,3.35,3.225,0.9974358974358974,3.349917534722222,3.282505787037037,3.4173292824074077,3.35,3.4173292824074077,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,TSLA_put_atm,TSLA  200619P00820000,TSLA,2020-06-19,-4.0,4.0,389.0,390.0,0.03614457831325288,0.0516129032258065,2020-06-12 13:31:00+00:00,4.25,4.5,4.375,0.9974358974358974,7.385573723050209,7.236326146722616,7.534821299377803,4.5,7.534821299377803,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,V_call_atm,V     200619C00200000,V,2020-06-19,2.0,-2.0,389.0,390.0,0.06511627906976748,0.09862632585637274,2020-06-12 13:31:00+00:00,1.64,1.8,1.72,0.9974358974358974,1.1884354154032746,1.1491473620375985,1.2277234687689509,1.64,1.1491473620375985,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,XOM_put_atm,XOM   200619P00045000,XOM,2020-06-19,10.0,-10.0,389.0,390.0,0.035087719298245446,0.056074766355140235,2020-06-12 13:31:00+00:00,0.67,0.7,0.685,0.9974358974358974,0.9339758458736701,0.9133413208089715,0.9546103709383688,0.67,0.9133413208089715,True
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_call_atm,AAPL  200619C00320000,AAPL,2020-06-19,2.0,-2.0,389.0,390.0,0.009456264775413678,0.02193929859773796,2020-06-12 13:31:00+00:00,26.2,26.85,26.525,0.9974358974358974,22.10386909064623,21.963271649559058,22.244466531733412,26.2,21.963271649559058,True
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_put_atm,AAPL  200619P00320000,AAPL,2020-06-19,-1.0,1.0,389.0,390.0,0.016528925619834652,0.028571428571428494,2020-06-12 13:31:00+00:00,1.41,1.46,1.435,0.9974358974358974,2.410499546896239,2.3834696420480292,2.4375294517444495,1.46,2.4375294517444495,True
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,META_call_call_near,FB    200619C00240000,META,2020-06-19,3.0,-3.0,389.0,390.0,0.03636363636363624,0.054054054054053925,2020-06-12 13:31:00+00:00,1.47,1.61,1.54,0.9974358974358974,1.2278195980497086,1.2031965750981093,1.252442621001308,1.47,1.2031965750981093,True
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_atm,MSFT  200619C00180000,MSFT,2020-06-19,2.0,-2.0,389.0,390.0,0.016085790884718537,0.044444444444444446,2020-06-12 13:31:00+00:00,10.9,12.2,11.55,0.9974358974358974,10.616021668650223,10.416345877621373,10.815697459679074,10.9,10.416345877621373,True
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_call_near,MSFT  200619C00195000,MSFT,2020-06-19,9.0,-9.0,389.0,390.0,0.01980198019801982,0.028404516312671994,2020-06-12 13:31:00+00:00,2.05,2.14,2.0949999999999998,0.9974358974358974,1.4778547220967015,1.4625282422051515,1.493181201988251,2.05,1.4625282422051515,True
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_put_atm,MSFT  200619P00180000,MSFT,2020-06-19,-1.0,1.0,389.0,390.0,0.02094240837696337,0.033975786924939494,2020-06-12 13:31:00+00:00,0.98,1.03,1.005,0.9974358974358974,1.5794471898818996,1.5607312170198508,1.5981631627439485,1.03,1.5981631627439485,True
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,VIX_call_vix_atm,VIX   200617C00029000,VX_FRONT,2020-06-17,-5.0,5.0,389.0,390.0,0.027397260273972508,0.03821656050955412,2020-06-12 13:31:00+00:00,7.5,7.7,7.6,0.9974358974358974,9.640239104760798,9.498618419778902,9.781859789742697,7.7,9.781859789742697,True
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,VIX_call_vix_call_near,VIX   200617C00035000,VX_FRONT,2020-06-17,-29.0,29.0,389.0,390.0,0.04255319148936167,0.05494672754946732,2020-06-12 13:31:00+00:00,3.9,4.1,4.0,0.9974358974358974,4.977127749855731,4.862177240769251,5.092078258942211,4.1,5.092078258942211,True
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,VIX_put_vix_atm,VIX   200617P00028000,VX_FRONT,2020-06-17,-118.0,118.0,389.0,390.0,0.3999999999999999,0.5454545454545453,2020-06-12 13:31:00+00:00,0.35,0.5,0.425,0.9974358974358974,0.32368589729310715,0.2662577295245563,0.38111406506165796,0.5,0.38111406506165796,True
