arm,config,decision_date,symbol,artifact_mark,observed_mid,coverage,quote_schema,absolute_error,relative_error,regime
R1,larger,2021-06-30,QCOM  210716P00140000,1.5,1.53,covered,cbbo-1m,0.030000000000000027,0.01960784313725492,pre_2023_03_28
R1,larger,2021-06-30,SBUX  210716C00108000,4.5,4.300000000000001,covered,cbbo-1m,0.1999999999999993,0.04651162790697657,pre_2023_03_28
R1,larger,2021-06-30,TSLA  210716P00650000,17.45,17.725,covered,cbbo-1m,0.27500000000000213,0.015514809590973322,pre_2023_03_28
R1,larger,2021-06-30,TXN   210716C00195000,1.91,1.9449999999999998,covered,cbbo-1m,0.03499999999999992,0.017994858611825152,pre_2023_03_28
R1,larger,2021-07-30,AAPL  210820C00140000,6.71,6.7,covered,cbbo-1m,0.009999999999999787,0.001492537313432804,pre_2023_03_28
R1,larger,2021-07-30,AAPL  210820C00150000,1.22,1.225,covered,cbbo-1m,0.0050000000000001155,0.0040816326530613185,pre_2023_03_28
R1,larger,2021-07-30,AAPL  210820P00145000,2.52,2.5149999999999997,covered,cbbo-1m,0.0050000000000003375,0.001988071570576675,pre_2023_03_28
R1,larger,2021-07-30,ADBE  210820C00620000,12.45,13.0,covered,cbbo-1m,0.5500000000000007,0.042307692307692366,pre_2023_03_28
R1,larger,2021-07-30,AMD   210820C00105000,4.58,4.574999999999999,covered,cbbo-1m,0.005000000000000782,0.001092896174863559,pre_2023_03_28
R1,larger,2021-07-30,AMD   210820P00105000,3.25,3.4000000000000004,covered,cbbo-1m,0.15000000000000036,0.04411764705882363,pre_2023_03_28
R1,larger,2021-07-30,AVGO  210820C00500000,4.15,4.2,covered,cbbo-1m,0.04999999999999982,0.011904761904761862,pre_2023_03_28
R1,larger,2021-07-30,COST  210820C00430000,6.35,6.175,covered,cbbo-1m,0.17499999999999982,0.02834008097165989,pre_2023_03_28
R1,larger,2021-07-30,COST  210820P00425000,4.3,4.175,covered,cbbo-1m,0.125,0.029940119760479042,pre_2023_03_28
R1,larger,2021-07-30,FB    210820C00365000,4.1,4.425,covered,cbbo-1m,0.3250000000000002,0.07344632768361586,pre_2023_03_28
R1,larger,2021-07-30,LLY   210820C00245000,6.5,5.75,covered,cbbo-1m,0.75,0.13043478260869565,pre_2023_03_28
R1,larger,2021-07-30,LLY   210820P00245000,7.4,7.775,covered,cbbo-1m,0.375,0.04823151125401929,pre_2023_03_28
R1,larger,2021-07-30,MSFT  210820C00285000,4.05,4.2,covered,cbbo-1m,0.15000000000000036,0.035714285714285796,pre_2023_03_28
R1,larger,2021-07-30,MSFT  210820C00300000,0.46,0.45,covered,cbbo-1m,0.010000000000000009,0.02222222222222224,pre_2023_03_28
R1,larger,2021-07-30,MSFT  210820P00275000,1.51,1.58,covered,cbbo-1m,0.07000000000000006,0.044303797468354465,pre_2023_03_28
R1,larger,2021-07-30,MSFT  210820P00280000,2.73,2.765,covered,cbbo-1m,0.03500000000000014,0.012658227848101316,pre_2023_03_28
R1,larger,2021-07-30,NKE   210820C00170000,1.78,1.83,covered,cbbo-1m,0.050000000000000044,0.027322404371584723,pre_2023_03_28
R1,larger,2021-07-30,PG    210820C00145000,0.84,0.8300000000000001,covered,cbbo-1m,0.009999999999999898,0.012048192771084213,pre_2023_03_28
R1,larger,2021-07-30,SBUX  210820C00116000,4.5,5.75,covered,cbbo-1m,1.25,0.21739130434782608,pre_2023_03_28
R1,larger,2021-07-30,SBUX  210820C00125000,0.73,0.73,covered,cbbo-1m,0.0,0.0,pre_2023_03_28
R1,larger,2021-07-30,TSLA  210820P00700000,37.51,36.45,covered,cbbo-1m,1.0599999999999952,0.029080932784636353,pre_2023_03_28
R1,larger,2021-07-30,TXN   210820C00195000,1.73,1.84,covered,cbbo-1m,0.1100000000000001,0.059782608695652224,pre_2023_03_28
R1,larger,2021-07-30,UNH   210820C00420000,3.35,3.4,covered,cbbo-1m,0.04999999999999982,0.014705882352941124,pre_2023_03_28
R1,larger,2021-08-31,AAPL  210917C00150000,3.9,4.0,covered,cbbo-1m,0.10000000000000009,0.025000000000000022,pre_2023_03_28
R1,larger,2021-08-31,AAPL  210917C00157500,1.06,1.09,covered,cbbo-1m,0.030000000000000027,0.027522935779816536,pre_2023_03_28
R1,larger,2021-08-31,AAPL  210917P00150000,2.1,2.0949999999999998,covered,cbbo-1m,0.0050000000000003375,0.0023866348448688965,pre_2023_03_28
R1,larger,2021-08-31,AAPL  210917P00157500,6.76,6.7,covered,cbbo-1m,0.05999999999999961,0.008955223880596956,pre_2023_03_28
R1,larger,2021-08-31,ADBE  210917C00680000,4.17,4.525,covered,cbbo-1m,0.3550000000000004,0.07845303867403323,pre_2023_03_28
R1,larger,2021-08-31,ADBE  210917P00650000,6.35,6.050000000000001,covered,cbbo-1m,0.29999999999999893,0.04958677685950395,pre_2023_03_28
R1,larger,2021-08-31,AMAT  210917C00130000,5.62,6.625,covered,cbbo-1m,1.005,0.15169811320754714,pre_2023_03_28
R1,larger,2021-08-31,AMAT  210917C00140000,1.19,1.315,covered,cbbo-1m,0.125,0.09505703422053233,pre_2023_03_28
R1,larger,2021-08-31,AMD   210917C00110000,3.85,3.9000000000000004,covered,cbbo-1m,0.050000000000000266,0.012820512820512888,pre_2023_03_28
R1,larger,2021-08-31,AMD   210917P00110000,3.05,3.1500000000000004,covered,cbbo-1m,0.10000000000000053,0.03174603174603191,pre_2023_03_28
R1,larger,2021-08-31,AVGO  210917C00500000,10.5,10.5,covered,cbbo-1m,0.0,0.0,pre_2023_03_28
R1,larger,2021-08-31,COST  210917C00450000,8.58,9.125,covered,cbbo-1m,0.5449999999999999,0.05972602739726027,pre_2023_03_28
R1,larger,2021-08-31,COST  210917P00450000,3.56,3.55,covered,cbbo-1m,0.010000000000000231,0.0028169014084507694,pre_2023_03_28
R1,larger,2021-08-31,FB    210917C00400000,1.14,1.17,covered,cbbo-1m,0.030000000000000027,0.025641025641025664,pre_2023_03_28
R1,larger,2021-08-31,GOOG  210917C02950000,25.8,21.55,covered,cbbo-1m,4.25,0.19721577726218098,pre_2023_03_28
R1,larger,2021-08-31,LLY   210917C00260000,6.1,5.075,covered,cbbo-1m,1.0249999999999995,0.2019704433497536,pre_2023_03_28
R1,larger,2021-08-31,LLY   210917P00250000,2.4,2.42,covered,cbbo-1m,0.020000000000000018,0.008264462809917363,pre_2023_03_28
R1,larger,2021-08-31,LLY   210917P00260000,5.4,6.325,covered,cbbo-1m,0.9249999999999998,0.1462450592885375,pre_2023_03_28
R1,larger,2021-08-31,LRCX  210917C00610000,10.85,12.95,covered,cbbo-1m,2.0999999999999996,0.16216216216216214,pre_2023_03_28
R1,larger,2021-08-31,LRCX  210917C00650000,2.16,2.055,covered,cbbo-1m,0.10499999999999998,0.05109489051094889,pre_2023_03_28
R1,larger,2021-08-31,MSFT  210917C00305000,2.65,2.6950000000000003,covered,cbbo-1m,0.04500000000000037,0.01669758812615969,pre_2023_03_28
