config,return_date,strategy,display_strategy,train_start,train_end,status,solver_status,capacity_infeasible,deployed_gross,gross_ret,net_ret
orig,2023-11-30,orig Equal risk capped,Equal risk capped,2020-09-30,2023-10-31,ok,reference,True,0.580097,0.7819311463012696,0.7720624077701378
orig,2023-12-29,orig E1 capped,E1 capped,2020-10-30,2023-11-30,ok,infeasible,True,0.0,0.0,0.0
orig,2023-12-29,orig GM paper,GM paper,2020-10-30,2023-11-30,ok,optimal,False,1.00005,-0.04468785986328122,-0.3256499452308947
orig,2023-12-29,orig Equal premium capped,Equal premium capped,2020-10-30,2023-11-30,ok,reference,True,0.424368,-0.07671092407226564,-0.08617532176596537
orig,2023-12-29,orig Equal risk capped,Equal risk capped,2020-10-30,2023-11-30,ok,reference,True,0.422858,-0.07273091674804688,-0.08213552793656853
orig,2024-01-31,orig E1 capped,E1 capped,2020-11-30,2023-12-29,ok,optimal,True,0.525229,0.6334471556701663,0.6242122706610309
orig,2024-01-31,orig GM paper,GM paper,2020-11-30,2023-12-29,ok,optimal,False,1.002377,1.0772731722717286,0.9477380526638263
orig,2024-01-31,orig Equal premium capped,Equal premium capped,2020-11-30,2023-12-29,ok,reference,True,0.5531200000000001,0.5077271310424807,0.4985983865573678
orig,2024-01-31,orig Equal risk capped,Equal risk capped,2020-11-30,2023-12-29,ok,reference,True,0.549817,0.4851091227416994,0.4760880419840864
orig,2024-02-29,orig E1 capped,E1 capped,2020-12-31,2024-01-31,ok,optimal,True,0.5312779999999999,0.5660169368896482,0.5547329257802869
orig,2024-02-29,orig GM paper,GM paper,2020-12-31,2024-01-31,ok,optimal,False,0.9939989999999999,0.6339908531494142,-0.9203314197335798
orig,2024-02-29,orig Equal premium capped,Equal premium capped,2020-12-31,2024-01-31,ok,reference,True,0.64856,0.518619940795898,0.5056086428476215
orig,2024-02-29,orig Equal risk capped,Equal risk capped,2020-12-31,2024-01-31,ok,reference,True,0.649813,0.5927859242553708,0.5797783825024638
orig,2024-04-30,orig E1 capped,E1 capped,2021-01-29,2024-02-29,ok,optimal,True,0.522213,0.49758888024902337,0.4870541165665928
orig,2024-04-30,orig GM paper,GM paper,2021-01-29,2024-02-29,ok,optimal,False,1.004583,1.3634675944213868,1.276050731131914
orig,2024-04-30,orig Equal premium capped,Equal premium capped,2021-01-29,2024-02-29,ok,reference,True,0.599869,0.27718190216064453,0.26632134525035256
orig,2024-04-30,orig Equal risk capped,Equal risk capped,2021-01-29,2024-02-29,ok,reference,True,0.597729,0.3812028759765625,0.37041524280192084
