config,path_id,strategy,display_strategy,basis,status,capacity_infeasible,deployed_gross,sharpe,sortino,ann_return,ann_vol,max_drawdown,terminal_wealth,defaulted
larger+VIX,103,larger+VIX Equal premium capped,Equal premium capped,gross,ok,False,0.945151,0.3098122210948063,0.6529578996492573,-0.3056663292941034,1.4518029901936838,-0.9642821662886437,0.16137681182208877,False
larger+VIX,103,larger+VIX Equal risk capped,Equal risk capped,gross,ok,False,0.938063,0.48373764371747136,1.0660694158281416,-0.06664954459714167,1.3853323038277203,-0.899539718159733,0.7083105631825527,False
larger+VIX,103,larger+VIX E1 capped,E1 capped,full_cost_net,ok,False,0.863303,1.6844532085873332,4.264117206231957,1.7776625244395237,0.8020678902653516,-0.4037360974540888,165.34741029524113,False
larger+VIX,103,larger+VIX GM paper,GM paper,full_cost_net,ok,False,0.995063,-2.8909914779205597,-2.2314746898822784,-1.0,3.480986238623093,-1.0,0.0,True
larger+VIX,103,larger+VIX Equal premium capped,Equal premium capped,full_cost_net,ok,False,0.945151,0.070649659543759,0.13566849259966235,-0.5264476767943455,1.4509055603196177,-0.9888898571196593,0.023814411724264236,False
larger+VIX,103,larger+VIX Equal risk capped,Equal risk capped,full_cost_net,ok,False,0.938063,0.22997542612226687,0.46075314085081254,-0.35664816993488435,1.3816583762367687,-0.9632433725420039,0.11021550715917662,False
larger+VIX,104,larger+VIX Stock Markowitz,Stock Markowitz,gross,ok,False,0.9999999999999999,0.6124391683061422,1.332584177027377,0.026728823059211093,0.04469270483344249,-0.03532578735479164,1.1409819395368277,False
larger+VIX,104,larger+VIX Stock Markowitz,Stock Markowitz,full_cost_net,ok,False,0.9999999999999999,0.6124391683061422,1.332584177027377,0.026728823059211093,0.04469270483344249,-0.03532578735479164,1.1409819395368277,False
larger+VIX,104,larger+VIX E1 capped,E1 capped,gross,ok,False,0.852131,1.7805667306657833,6.078376141492906,2.8359691786473173,1.0344613307149033,-0.34903446821315043,830.5686703011944,False
larger+VIX,104,larger+VIX GM paper,GM paper,gross,ok,False,1.007716,1.0873109525676756,2.5529005615260405,0.6504862604743893,0.6281341461216682,-0.47759053535106677,12.247841765603013,False
larger+VIX,104,larger+VIX Equal premium capped,Equal premium capped,gross,ok,False,0.945151,0.3098122210948063,0.6529578996492573,-0.3056663292941034,1.4518029901936838,-0.9642821662886437,0.16137681182208877,False
larger+VIX,104,larger+VIX Equal risk capped,Equal risk capped,gross,ok,False,0.92299,0.6119219889454729,1.4028348502321442,0.1207454278758966,1.3774406629165998,-0.8534647343244354,1.7682142210296827,False
larger+VIX,104,larger+VIX E1 capped,E1 capped,full_cost_net,ok,False,0.852131,1.4531329410249865,4.275026726346954,1.7899596635252149,1.0292402681932413,-0.4729354933303711,169.04005371192667,False
larger+VIX,104,larger+VIX GM paper,GM paper,full_cost_net,ok,False,1.007716,-3.0497186639335356,-2.301818541801513,-1.0,2.7940233793468017,-1.0,0.0,True
larger+VIX,104,larger+VIX Equal premium capped,Equal premium capped,full_cost_net,ok,False,0.945151,0.070649659543759,0.13566849259966235,-0.5264476767943455,1.4509055603196177,-0.9888898571196593,0.023814411724264236,False
larger+VIX,104,larger+VIX Equal risk capped,Equal risk capped,full_cost_net,ok,False,0.92299,0.365838320144374,0.7634746151112276,-0.2124771226483817,1.3734597675990665,-0.9374111662968007,0.3029115923421996,False
