config,fold_id,scheme,strategy,display_strategy,basis,status,solver_status,mode,capacity_infeasible,sum_of_caps,deployed_gross,sharpe,sortino,ann_return,ann_vol,max_drawdown,terminal_wealth,defaulted
orig,cpcv_00_02,cpcv,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.847050725,0.779448,1.720976185091266,6.112108337931079,7.112297949389388,2.342453894318427,-0.6883234053893466,16.3001596272466,False
orig,cpcv_00_02,cpcv,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.847050725,0.779448,1.561051788654632,5.094981360769466,4.676123405934648,2.3165006328875952,-0.7271234251484366,10.125172680310051,False
orig,cpcv_00_02,cpcv,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.847050725,0.779448,1.720976185091266,6.112108337931079,7.112297949389388,2.342453894318427,-0.6883234053893466,16.3001596272466,False
orig,cpcv_00_02,cpcv,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.847050725,0.779448,1.561051788654632,5.094981360769466,4.676123405934648,2.3165006328875952,-0.7271234251484366,10.125172680310051,False
orig,cpcv_00_03,cpcv,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.83293755,0.517739,1.8397666340454741,6.576033277495544,4.269653660781093,1.3188398265180417,-0.34545663926484627,9.170142767930862,False
orig,cpcv_00_03,cpcv,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.83293755,0.517739,1.718109395586174,5.758920403768296,3.5394335693071923,1.3155425030184158,-0.3672619674927655,7.51626736026269,False
orig,cpcv_00_03,cpcv,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.9960490000000001,1.152448823620256,2.5902838984743806,0.7820744844939871,0.6881541571172364,-0.2591038930462727,2.1605673197506006,False
orig,cpcv_00_03,cpcv,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.9960490000000001,-2.2105357068837144,-1.9094327545122556,-1.0,2.4873283546032665,-1.0,0.0,True
orig,cpcv_00_03,cpcv,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.83293755,0.763864,1.8180324474479304,5.572421334064917,6.053395701514807,1.933285637095098,-0.6132910444527163,13.526880865032018,False
orig,cpcv_00_03,cpcv,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.83293755,0.763864,1.66056446743993,4.720214359790856,4.27308395916343,1.9214797719998122,-0.6453610742087572,9.178102744101515,False
