fold_id,scheme,strategy,basis,is_sharpe,oos_sharpe,status
cpcv_01_09,cpcv,Greek Markowitz + VIX,gross,1.3238843935815992,0.2621763345510295,ok
cpcv_01_09,cpcv,Beta/delta-neutral + VIX,gross,1.2478689416033562,0.11660983721294617,ok
cpcv_01_09,cpcv,Equal premium,gross,0.1605930919357951,0.5475547393627156,ok
cpcv_01_09,cpcv,Equal risk,gross,0.3408297935085158,0.8152161204096546,ok
cpcv_01_09,cpcv,VIX hedge sleeve,gross,-0.3201280147087456,-2.1739955212095636,ok
cpcv_01_10,cpcv,Equity-option Greek Markowitz,gross,1.5311782837173575,0.5645646950763193,ok
cpcv_01_10,cpcv,Greek Markowitz + VIX,gross,1.3930885260995434,-0.44861006397248926,ok
cpcv_01_10,cpcv,Beta/delta-neutral + VIX,gross,1.2604635886572637,-0.3135089916472906,ok
cpcv_01_10,cpcv,Equal premium,gross,0.291151392133948,0.25041357461389846,ok
cpcv_01_10,cpcv,Equal risk,gross,0.5048262102247227,0.17025692872418685,ok
cpcv_01_10,cpcv,VIX hedge sleeve,gross,-0.32071344047169026,-1.6800841283495642,ok
cpcv_01_11,cpcv,Equity-option Greek Markowitz,gross,1.8514569802241367,0.6247835725593669,ok
cpcv_01_11,cpcv,Greek Markowitz + VIX,gross,1.9553166014578012,-0.02704721274510514,ok
cpcv_01_11,cpcv,Beta/delta-neutral + VIX,gross,1.5871918865636376,0.15525681729323546,ok
cpcv_01_11,cpcv,Equal premium,gross,0.3260795456766648,-0.021409259234060053,ok
cpcv_01_11,cpcv,Equal risk,gross,0.4206450462213154,-0.018372582097763053,ok
cpcv_01_11,cpcv,VIX hedge sleeve,gross,-0.33161517218243247,-1.8122489206049688,ok
cpcv_02_03,cpcv,Equity-option Greek Markowitz,gross,1.8085813434024964,0.6728850995897131,ok
cpcv_02_03,cpcv,Greek Markowitz + VIX,gross,1.2268250881294338,1.3646638439137204,ok
cpcv_02_03,cpcv,Beta/delta-neutral + VIX,gross,1.2230543261659956,0.6524993374744599,ok
cpcv_02_03,cpcv,Equal premium,gross,0.20218432767878883,0.01502522705200536,ok
cpcv_02_03,cpcv,Equal risk,gross,0.3656124682089662,0.3842560757512445,ok
cpcv_02_03,cpcv,VIX hedge sleeve,gross,-0.4567186794847929,-0.38025041582418534,ok
cpcv_02_04,cpcv,Equity-option Greek Markowitz,gross,1.4711209986640703,1.9903908575409823,ok
cpcv_02_04,cpcv,Greek Markowitz + VIX,gross,1.2514087808396426,1.2045405344366393,ok
cpcv_02_04,cpcv,Beta/delta-neutral + VIX,gross,1.1829217039068824,1.194085484754254,ok
cpcv_02_04,cpcv,Equal premium,gross,0.25308571484884174,-0.1144297248467176,ok
cpcv_02_04,cpcv,Equal risk,gross,0.47206120030899473,0.34826867556005786,ok
cpcv_02_04,cpcv,VIX hedge sleeve,gross,-0.3435691516443607,-1.1636775988174604,ok
cpcv_02_05,cpcv,Equity-option Greek Markowitz,gross,1.3456760001501271,2.4182084696419883,ok
cpcv_02_05,cpcv,Greek Markowitz + VIX,gross,1.245144197721733,1.6165818118744588,ok
cpcv_02_05,cpcv,Beta/delta-neutral + VIX,gross,1.3199940636798522,1.1076363826471205,ok
cpcv_02_05,cpcv,Equal premium,gross,0.1256596757806375,1.1322080035957791,ok
cpcv_02_05,cpcv,Equal risk,gross,0.2819474605855774,1.6144260868914295,ok
cpcv_02_05,cpcv,VIX hedge sleeve,gross,-2.2260481131706733,0.43861596470905123,ok
cpcv_02_06,cpcv,Equity-option Greek Markowitz,gross,1.5955817626204372,1.3925325050022876,ok
cpcv_02_06,cpcv,Greek Markowitz + VIX,gross,1.2271583391297338,1.6320162711948494,ok
cpcv_02_06,cpcv,Beta/delta-neutral + VIX,gross,1.2185820151327966,1.3813294392285007,ok
cpcv_02_06,cpcv,Equal premium,gross,0.4405079319047133,-1.1111520105954036,ok
cpcv_02_06,cpcv,Equal risk,gross,0.7155614126482679,-0.7590400182022893,ok
cpcv_02_06,cpcv,VIX hedge sleeve,gross,-0.2965836880838489,-3.647044109605672,ok
cpcv_02_07,cpcv,Equity-option Greek Markowitz,gross,1.8124470551471863,0.9662017931242838,ok
cpcv_02_07,cpcv,Greek Markowitz + VIX,gross,1.4125359585286719,1.1086702793580978,ok
