fold_id,scheme,strategy,basis,sharpe,sortino,max_drawdown,ann_return,ann_vol,defaulted,n_test_months,status
cpcv_00_10,cpcv,Equal risk,gross,0.08957052713724975,0.15854835951305696,-0.7607466996001502,-0.4288104623074702,1.246615178455337,False,21,ok
cpcv_00_10,cpcv,VIX hedge sleeve,gross,-5.454074288634071,-2.9868274063912166,-1.0,-1.0,1.5956407089522024,True,21,ok
cpcv_00_10,cpcv,Equity-option Greek Markowitz,full_spread_post_cost,0.5833893783978826,1.5357256221509479,-0.3774487378477054,0.20230800865675502,0.477207804399201,False,21,ok
cpcv_00_10,cpcv,Greek Markowitz + VIX,full_spread_post_cost,-0.4071276305635598,-0.49089019288057634,-0.6128876571094417,-0.2827150736019458,0.4914129683019367,False,21,ok
cpcv_00_10,cpcv,Beta/delta-neutral + VIX,full_spread_post_cost,-0.5661318155545314,-0.6622351661080145,-0.5748901163596747,-0.30120972535472235,0.44301346584550433,False,21,ok
cpcv_00_10,cpcv,Equal premium,full_spread_post_cost,-0.22298398085992163,-0.4262267197143125,-0.731113231884172,-0.4013183798947426,0.896348779805524,False,21,ok
cpcv_00_10,cpcv,Equal risk,full_spread_post_cost,-0.8177076085657308,-1.1347200844887804,-0.757953503190972,-0.4921656874048771,0.6042669407421176,False,21,ok
cpcv_00_10,cpcv,VIX hedge sleeve,full_spread_post_cost,-2.5412680438344952,-2.0815029101034717,-0.9986130857646014,-0.9901027072186682,1.072911234795866,False,21,ok
cpcv_00_11,cpcv,Equity-option Greek Markowitz,gross,0.24200753465002459,0.4153698720810533,-0.6769125153239337,-0.04402412613630691,0.6810042478753057,False,21,ok
cpcv_00_11,cpcv,Greek Markowitz + VIX,gross,0.25076966709137416,0.4324666160448411,-0.452546438194236,-0.04433896216560329,0.6975692860093818,False,21,ok
cpcv_00_11,cpcv,Beta/delta-neutral + VIX,gross,0.41802743949413024,0.8157402357849446,-0.3973267581084927,0.06778974816626016,0.8011195141929788,False,21,ok
cpcv_00_11,cpcv,Equal premium,gross,-0.37259797284607876,-0.6445381878355818,-0.9975904293073543,-0.9328243382180145,2.09883470946434,False,21,ok
cpcv_00_11,cpcv,Equal risk,gross,-0.44625395094667347,-0.705334054697961,-0.9780185761746444,-0.8027870371540358,1.4507390564042517,False,21,ok
cpcv_00_11,cpcv,VIX hedge sleeve,gross,-6.1351278101084,-3.0552741703983517,-1.0,-1.0,1.4744325801149294,True,21,ok
cpcv_00_11,cpcv,Equity-option Greek Markowitz,full_spread_post_cost,-0.6373231063594749,-0.8472324346913821,-0.63964741563565,-0.35754669143914675,0.49565739099538336,False,21,ok
cpcv_00_11,cpcv,Greek Markowitz + VIX,full_spread_post_cost,-1.1788415800295182,-1.3157596559686615,-0.7101366412842686,-0.5772125458048463,0.5654298632017004,False,21,ok
cpcv_00_11,cpcv,Beta/delta-neutral + VIX,full_spread_post_cost,-0.8996401601909069,-1.0685169991648753,-0.5330366665935402,-0.4530846873147829,0.5101887867251489,False,21,ok
cpcv_00_11,cpcv,Equal premium,full_spread_post_cost,-0.13871640011297046,-0.3076419093649173,-0.926540302803065,-0.5859130376634446,1.432573353444803,False,21,ok
cpcv_00_11,cpcv,Equal risk,full_spread_post_cost,-0.30347650669897963,-0.5571971382389714,-0.7893311394055236,-0.4017114381221698,0.807859879086209,False,21,ok
