return_date,decision_date,state_snapshot_date,expiry,payoff_date,asset_id,symbol,underlying,underlying_or_forward,kind,right,moneyness_bucket,mark,entry_price,strike,start_spot,payoff_raw_close,terminal_spot_proxy,expiry_spot_proxy,vix_close_proxy_settlement,exact_minus_vix_close_proxy,terminal_forward_proxy,expiry_weight,payoff_proxy,exit_price,option_return,delta,gamma,vega,theta,iv_proxy,expiry_days,settlement_source,greek_model,vx_contract,train_end_date,asset_class
2016-01-29,2015-12-31,2015-12-31,2016-01-20,2016-01-20,VIX_put_vix_put_near,VIX   160120P00017000,VX_FRONT,VX_FRONT,put,put,vix_put_near,0.8,0.8,17.0,18.475,27.4,27.4,27.4,27.59000015258789,-0.19000015258789205,24.8,1.0,0.0,0.0,-1.0,-0.30304833090919964,0.09407371124522203,1.5095965106099558,-11.930058557456825,0.8579986025597922,20,vro_soq_exact,black76_vx_forward,VXF16,2020-12-31,vix_option
2016-02-29,2016-01-29,2016-01-29,2016-02-17,2016-02-17,VIX_call_vix_atm,VIX   160217C00021000,VX_FRONT,VX_FRONT,call,call,vix_atm,2.05,2.05,21.0,20.85,23.76,23.76,23.76,22.309999465942383,1.4500005340576188,22.75,1.0,2.7600000000000016,2.7600000000000016,0.3463414634146351,0.5391214085751405,0.07446763906044478,1.8864213291809828,-20.522144334053046,1.1194333933177576,19,vro_soq_exact,black76_vx_forward,VXG16,2020-12-31,vix_option
2016-02-29,2016-01-29,2016-01-29,2016-02-17,2016-02-17,VIX_call_vix_call_near,VIX   160217C00026000,VX_FRONT,VX_FRONT,call,call,vix_call_near,0.78,0.78,26.0,20.85,23.76,23.76,23.76,22.309999465942383,1.4500005340576188,22.75,1.0,0.0,0.0,-1.0,0.2557934372299216,0.05549137438741511,1.5292515005545084,-17.964142520415724,1.2178129244105056,19,vro_soq_exact,black76_vx_forward,VXG16,2020-12-31,vix_option
2016-02-29,2016-01-29,2016-01-29,2016-02-17,2016-02-17,VIX_call_vix_call_wing,VIX   160217C00032500,VX_FRONT,VX_FRONT,call,call,vix_call_wing,0.25,0.25,32.5,20.85,23.76,23.76,23.76,22.309999465942383,1.4500005340576188,22.75,1.0,0.0,0.0,-1.0,0.09493962528293504,0.02668235884627833,0.8034301157840578,-10.106987511150368,1.3306107600362256,19,vro_soq_exact,black76_vx_forward,VXG16,2020-12-31,vix_option
2016-02-29,2016-01-29,2016-01-29,2016-02-17,2016-02-17,VIX_put_vix_atm,VIX   160217P00020000,VX_FRONT,VX_FRONT,put,put,vix_atm,0.85,0.85,20.0,20.85,23.76,23.76,23.76,22.309999465942383,1.4500005340576188,22.75,1.0,0.0,0.0,-1.0,-0.3623855840791795,0.11898307588902168,1.7824975741920177,-11.460425213317553,0.6620196807446275,19,vro_soq_exact,black76_vx_forward,VXG16,2020-12-31,vix_option
2016-02-29,2016-01-29,2016-01-29,2016-02-17,2016-02-17,VIX_put_vix_put_near,VIX   160217P00019000,VX_FRONT,VX_FRONT,put,put,vix_put_near,0.4,0.4,19.0,20.85,23.76,23.76,23.76,22.309999465942383,1.4500005340576188,22.75,1.0,0.0,0.0,-1.0,-0.22668978712953092,0.10578918870154753,1.43209435104978,-8.28028756385175,0.5982152636567566,19,vro_soq_exact,black76_vx_forward,VXG16,2020-12-31,vix_option
2016-03-31,2016-02-29,2016-02-29,2016-03-16,2016-03-16,VIX_call_vix_atm,VIX   160316C00020000,VX_FRONT,VX_FRONT,call,call,vix_atm,2.4,2.4,20.0,20.65,16.22,16.22,16.22,14.989999771118164,1.2300002288818348,17.625,1.0,0.0,0.0,-1.0,0.5993103495744462,0.07335158575862634,1.66906039018336,-23.5015881775105,1.217293529011666,16,vro_soq_exact,black76_vx_forward,VXH16,2020-12-31,vix_option
2016-03-31,2016-02-29,2016-02-29,2016-03-16,2016-03-16,VIX_call_vix_call_near,VIX   160316C00022000,VX_FRONT,VX_FRONT,call,call,vix_call_near,1.45,1.45,22.0,20.65,16.22,16.22,16.22,14.989999771118164,1.2300002288818348,17.625,1.0,0.0,0.0,-1.0,0.4438953907261726,0.07886536067065975,1.706474779586932,-22.84686753810253,1.1575675670566534,16,vro_soq_exact,black76_vx_forward,VXH16,2020-12-31,vix_option
2016-03-31,2016-02-29,2016-02-29,2016-03-16,2016-03-16,VIX_call_vix_call_wing,VIX   160316C00030000,VX_FRONT,VX_FRONT,call,call,vix_call_wing,0.3,0.3,30.0,20.65,16.22,16.22,16.22,14.989999771118164,1.2300002288818348,17.625,1.0,0.0,0.0,-1.0,0.1179747583286248,0.033961432560692534,0.854319330325675,-12.947528968236897,1.3457580970589638,16,vro_soq_exact,black76_vx_forward,VXH16,2020-12-31,vix_option
2016-03-31,2016-02-29,2016-02-29,2016-03-16,2016-03-16,VIX_put_vix_atm,VIX   160316P00020000,VX_FRONT,VX_FRONT,put,put,vix_atm,0.65,0.65,20.0,20.65,16.22,16.22,16.22,14.989999771118164,1.2300002288818348,17.625,1.0,3.780000000000001,3.780000000000001,4.815384615384617,-0.3689776950754039,0.15737909273076542,1.6299778951931838,-10.442582493821838,0.5540735866031982,16,vro_soq_exact,black76_vx_forward,VXH16,2020-12-31,vix_option
2016-03-31,2016-02-29,2016-02-29,2016-03-16,2016-03-16,VIX_put_vix_put_near,VIX   160316P00019000,VX_FRONT,VX_FRONT,put,put,vix_put_near,0.32,0.32,19.0,20.65,16.22,16.22,16.22,14.989999771118164,1.2300002288818348,17.625,1.0,2.780000000000001,2.780000000000001,7.6875000000000036,-0.21929602851817798,0.1229663144749355,1.2773248109024238,-8.152782436708694,0.5557096791386361,16,vro_soq_exact,black76_vx_forward,VXH16,2020-12-31,vix_option
2016-04-29,2016-03-31,2016-03-31,2016-04-20,2016-04-20,VIX_call_vix_atm,VIX   160420C00015000,VX_FRONT,VX_FRONT,call,call,vix_atm,1.6,1.6,15.0,14.75,12.38,12.38,12.38,13.279999732971191,-0.8999997329711906,14.825,1.0,0.0,0.0,-1.0,0.5345207419616095,0.0923150905873748,1.370593843910376,-15.748138585758609,1.245417330460014,20,vro_soq_exact,black76_vx_forward,VXJ16,2020-12-31,vix_option
2016-04-29,2016-03-31,2016-03-31,2016-04-20,2016-04-20,VIX_call_vix_call_near,VIX   160420C00018000,VX_FRONT,VX_FRONT,call,call,vix_call_near,0.7,0.7,18.0,14.75,12.38,12.38,12.38,13.279999732971191,-0.8999997329711906,14.825,1.0,0.0,0.0,-1.0,0.2964601975392429,0.08002375450503989,1.1933026421743025,-13.703073171633948,1.2508651902569328,20,vro_soq_exact,black76_vx_forward,VXJ16,2020-12-31,vix_option
2016-04-29,2016-03-31,2016-03-31,2016-04-20,2016-04-20,VIX_call_vix_call_wing,VIX   160420C00021000,VX_FRONT,VX_FRONT,call,call,vix_call_wing,0.35,0.35,21.0,14.75,12.38,12.38,12.38,13.279999732971191,-0.8999997329711906,14.825,1.0,0.0,0.0,-1.0,0.16423888825407085,0.053764488394216915,0.8541843781365116,-10.34429882293086,1.3327077864432464,20,vro_soq_exact,black76_vx_forward,VXJ16,2020-12-31,vix_option
2016-04-29,2016-03-31,2016-03-31,2016-04-20,2016-04-20,VIX_put_vix_atm,VIX   160420P00015000,VX_FRONT,VX_FRONT,put,put,vix_atm,0.59,0.59,15.0,14.75,12.38,12.38,12.38,13.279999732971191,-0.8999997329711906,14.825,1.0,2.619999999999999,2.619999999999999,3.4406779661016937,-0.5711655685094135,0.34674269582357126,1.3535853060649095,-4.082405392433907,0.32745915589931435,20,vro_soq_exact,black76_vx_forward,VXJ16,2020-12-31,vix_option
2016-07-29,2016-06-30,2016-06-30,2016-07-20,2016-07-20,VIX_call_vix_atm,VIX   160720C00017000,VX_FRONT,VX_FRONT,call,call,vix_atm,1.6,1.6,17.0,16.45,11.62,11.62,11.62,11.770000457763672,-0.15000045776367266,14.4,1.0,0.0,0.0,-1.0,0.5085383261226948,0.08640936287258437,1.5341071424973607,-16.94656917545775,1.1973633292758443,20,vro_soq_exact,black76_vx_forward,VXN16,2020-12-31,vix_option
