path_id,sortino_improvement,net_log_growth_improvement
320,-1.4068417594407048,-0.011256091116311134
321,-0.9538332332474508,-0.007296344319033302
322,-0.9167202995820509,-0.008757478949162257
323,-0.9248079216355611,-0.008883250205812068
324,-1.3368929735973492,-0.012087092028017922
325,-0.4360902456558352,-0.00593242874111532
326,-1.1945130725868247,-0.00950619217434986
327,-1.1024423751456995,-0.012909613648687052
328,-1.0868476466301638,-0.009023175789281067
329,-1.2875163060675634,-0.011502020364129506
330,-1.5921649023627995,-0.011704651582434588
331,-1.0106096933401774,-0.011167811295882298
332,-0.8928019019865179,-0.01033148417703774
333,-1.1831002907771158,-0.011292849910110524
334,-0.5493690389424201,-0.00653872989464941
335,-0.7805200302790345,-0.009302360983278062
336,-0.8610963242078188,-0.006882060545043303
337,-1.221476670279546,-0.00985033315116845
338,-0.42025985358737217,-0.0078105055026215925
339,-1.4221020547827237,-0.010801964204135608
340,-1.1214992919648956,-0.009447061447310558
341,-0.8714003064948644,-0.009862309310137783
342,-1.2764361574931182,-0.010687374640910869
343,-0.33633326825575716,-0.005631804523335736
344,-0.8514865107821988,-0.007822295184852616
345,-0.30071228293595564,-0.006905382430108607
346,-0.2559764145555038,-0.006217605349423219
347,-0.5865551653341157,-0.009232844528868188
348,-1.0461386727784898,-0.009729347674506773
349,-1.4389782243692923,-0.010634072362046382
350,-0.6282671529360788,-0.007679954179547161
351,-1.0260833465269408,-0.011313085253753952
352,-0.953265657926674,-0.009314773126720712
353,-0.15575520241668755,-0.0025673194300912428
354,-0.38235040404468645,-0.006700145121913291
355,-0.6943270142923782,-0.0071026951454760505
356,-1.2903182566217055,-0.009467376016549654
357,-0.21708911848228207,-0.007919520305034348
358,-0.9418630519910027,-0.00894456029265166
359,-0.9144246737707055,-0.006530094939350459
360,-0.2571790783452592,-0.0078189935399089
361,-1.2556483531412581,-0.011397682886793782
362,-0.5067528032170137,-0.005912140388956665
363,-0.4487307164796698,-0.007591545655682176
364,-0.5435827883975709,-0.0062042877032808
365,-1.0567235217219473,-0.009678015852599035
