config,return_date,family,observations,annual_downside
orig+VIX,2022-07-29,imputation_3,85,0.9704170019903786
orig+VIX,2022-07-29,imputation_4,85,0.94876044429661
orig+VIX,2022-07-29,imputation_5,85,0.9820119306484945
orig+VIX,2022-08-31,recent,36,0.9578550213710968
orig+VIX,2022-08-31,expanding_bootstrap,500,0.7394469753513997
orig+VIX,2022-08-31,imputation_1,86,0.9744193950181971
orig+VIX,2022-08-31,imputation_2,86,0.9744193932983035
orig+VIX,2022-08-31,imputation_3,86,0.846711888788735
orig+VIX,2022-08-31,imputation_4,86,0.9300288288553347
orig+VIX,2022-08-31,imputation_5,86,0.9209124584129292
orig+VIX,2022-09-30,recent,36,0.7141419968983573
orig+VIX,2022-09-30,expanding_bootstrap,500,0.7111571808649342
orig+VIX,2022-09-30,imputation_1,87,0.7164275031469194
orig+VIX,2022-09-30,imputation_2,87,0.6511961090960758
orig+VIX,2022-09-30,imputation_3,87,0.7164274784547364
orig+VIX,2022-09-30,imputation_4,87,0.7164275219573645
orig+VIX,2022-09-30,imputation_5,87,0.7164272257362719
orig+VIX,2022-10-31,recent,36,0.7288370880926925
orig+VIX,2022-10-31,expanding_bootstrap,500,0.6193514217354811
orig+VIX,2022-10-31,imputation_1,88,0.7288371159638214
orig+VIX,2022-10-31,imputation_2,88,0.7056013214453
orig+VIX,2022-10-31,imputation_3,88,0.7288371073920855
orig+VIX,2022-10-31,imputation_4,88,0.7066053207197137
orig+VIX,2022-10-31,imputation_5,88,0.6782946876685083
orig+VIX,2022-11-30,recent,36,0.61853909977955
orig+VIX,2022-11-30,expanding_bootstrap,500,0.533932570853952
orig+VIX,2022-11-30,imputation_1,89,0.6185391003895386
orig+VIX,2022-11-30,imputation_2,89,0.6185391012407776
orig+VIX,2022-11-30,imputation_3,89,0.6185390857250653
orig+VIX,2022-11-30,imputation_4,89,0.6185390926596241
orig+VIX,2022-11-30,imputation_5,89,0.5730920817994474
orig+VIX,2022-12-30,recent,36,0.9708988039739167
orig+VIX,2022-12-30,expanding_bootstrap,500,0.8822911201165643
orig+VIX,2022-12-30,imputation_1,90,1.0646254133419435
orig+VIX,2022-12-30,imputation_2,90,0.9566824607039685
orig+VIX,2022-12-30,imputation_3,90,1.0640798349896046
orig+VIX,2022-12-30,imputation_4,90,1.0646254179648298
